rating,count,color,share
0,22318,#CB202D,41.63262261
0.1,0,#CB202D,0
0.2,0,#CB202D,0
0.3,0,#CB202D,0
0.4,0,#CB202D,0
0.5,0,#CB202D,0
0.6,0,#CB202D,0
0.7,0,#CB202D,0
0.8,0,#CB202D,0
0.9,0,#CB202D,0
1,0,#CB202D,0
1.1,0,#DE1D0F,0
1.2,0,#DE1D0F,0
1.3,1,#DE1D0F,0.001865428022
1.4,1,#DE1D0F,0.001865428022
1.5,4,#DE1D0F,0.00746171209
1.6,5,#FF7800,0.009327140112
1.7,8,#FF7800,0.01492342418
1.8,22,#FF7800,0.04103941649
1.9,14,#FF7800,0.02611599231
2,21,#FF7800,0.03917398847
2.1,27,#FFBA00,0.05036655661
2.2,50,#FFBA00,0.09327140112
2.3,112,#FFBA00,0.2089279385
2.4,161,#FFBA00,0.3003339116
2.5,242,#FFBA00,0.4514335814
2.6,300,#EDD614,0.5596284067
2.7,405,#EDD614,0.7554983491
2.8,552,#EDD614,1.029716268
2.9,1192,#EDD614,2.223590203
3,3066,#EDD614,5.719402317
3.1,3572,#9ACD32,6.663308896
3.2,3552,#9ACD32,6.626000336
3.3,3203,#9ACD32,5.974965956
3.4,2673,#9ACD32,4.986289104
3.5,2309,#9ACD32,4.307273304
3.6,2151,#5BA829,4.012535676
3.7,1947,#5BA829,3.63198836
3.8,1554,#5BA829,2.898875147
3.9,1308,#5BA829,2.439979853
4,961,#5BA829,1.79267633
4.1,768,#3F7E00,1.432648721
4.2,547,#3F7E00,1.020389128
4.3,333,#3F7E00,0.6211875315
4.4,132,#3F7E00,0.246236499
4.5,65,#3F7E00,0.1212528215
4.6,21,#CBCBCB,0.03917398847
4.7,6,#CBCBCB,0.01119256813
4.8,4,#CBCBCB,0.00746171209
4.9,0,#CBCBCB,0
5,0,#CBCBCB,0
